TOTAL COST,REGULAR VEHICLE COST,MRT OUTSOURCE COST,LOWER BOUND,GAP,RUNTIME,INSTANCE NAME
549.9,549.9,0.0,549.9000000000002,-4.134818611442662e-16,562.2039999961853,A-n33-k5-m1-b1
512.01,474.01,38.0,512.01,0.0,684.3650000095367,A-n33-k5-m2-b1
505.28999999999996,468.28999999999996,37.0,505.29,-1.1249662344556198e-16,382.92199993133545,A-n33-k5-m3-b1
607.5,607.5,0.0,607.4999999999999,1.8713882752529392e-16,1276.9860000610352,A-n33-k6-m0-b1
607.5,607.5,0.0,590.7105258709678,0.02842250712271823,14400.661999940872,A-n33-k6-m1-b1
607.499972235203,607.4999722352029,0.0,591.3720811588704,0.027271985929278094,14401.718000173569,A-n33-k6-m2-b1
590.8,450.79999999999995,140.0,590.7999999999988,1.9242863527694017e-15,6367.68700003624,A-n33-k6-m3-b1
558.55,558.55,0.0,558.55,0.0,486.6510000228882,A-n34-k5-m0-b1
558.5500000000001,558.55,0.0,558.55,2.0353923144143952e-16,302.07100009918213,A-n34-k5-m1-b1
558.5099364586629,528.5099364586629,30.0,537.4438366842106,0.039196839439857974,14400.696999788284,A-n34-k5-m2-b1
558.5099242947196,528.5099242947197,30.0,539.6767859559739,0.03489706955874526,14401.838000059128,A-n34-k5-m3-b1
578.1099999999999,578.11,0.0,554.42,0.04272933876844259,14400.37399983406,A-n36-k5-m0-b1
530.9499999999999,443.95000000000005,87.0,530.9499999999999,0.0,2970.055999994278,A-n36-k5-m1-b1
530.95,443.94999999999993,87.0,530.95,0.0,4584.095999956131,A-n36-k5-m2-b1
530.95,443.95000000000005,87.0,530.95,0.0,8047.180000066757,A-n36-k5-m3-b1
447.43999999999994,447.44000000000005,0.0,447.44000000000005,-2.540828663544073e-16,1048.755000114441,A-n37-k5-m0-b1
441.79999999999995,435.8,6.0,441.80000000000007,-2.573264774142508e-16,571.6670000553131,A-n37-k5-m1-b1
441.8,435.80000000000007,6.0,441.8,0.0,10084.511999845505,A-n37-k5-m2-b1
441.79999999999995,435.80000000000007,6.0,441.7928096911039,1.6275296334202286e-05,8292.324000120163,A-n37-k5-m3-b1
674.35,674.3499999999999,0.0,663.66,0.016107645481119932,14400.641000032425,A-n37-k6-m0-b1
676.5900000000001,676.59,0.0,638.5780014378417,0.05952600696636812,14401.101999998093,A-n37-k6-m1-b1
619.6999999999999,566.6999999999999,53.0,593.8198632536606,0.04358247062423398,14401.799000024796,A-n37-k6-m2-b1
611.8599999999999,509.86,102.0,576.3773713153273,0.06156145339935731,14401.40900015831,A-n37-k6-m3-b1
539.5400000000001,539.54,0.0,528.17,0.021527159815968568,14401.427999973297,A-n38-k5-m0-b1
535.78,513.78,22.0,500.90337415805834,0.06962745240150135,14401.107000112534,A-n38-k5-m1-b1
535.78,513.78,22.0,499.0524319083893,0.0735946079877089,14402.361000061035,A-n38-k5-m2-b1
544.1,544.1,0.0,485.6940180564047,0.12025262772911595,14403.229000091553,A-n38-k5-m3-b1
618.22,618.22,0.0,586.84,0.05347283757071773,14401.62299990654,A-n39-k5-m0-b1
588.46,546.46,42.0,549.6937017089793,0.07052345364427055,14403.325000047684,A-n39-k5-m1-b1
566.6999999999999,522.7,44.0,533.3060810561244,0.06261679761412882,14401.828000068665,A-n39-k5-m2-b1
566.3100000000001,518.3100000000001,48.0,535.4790723622727,0.05757634467714356,14406.208999872208,A-n39-k5-m3-b1
594.81,594.81,0.0,572.65,0.0386972845542652,14402.395999908447,A-n39-k6-m0-b1
594.8100000000001,594.8100000000001,0.0,571.584781088809,0.040633025370181236,14404.644999980927,A-n39-k6-m1-b1
555.0,526.0,29.0,555.0000000000001,-2.0484114904795676e-16,6256.173000097275,A-n39-k6-m2-b1
530.99,442.98999999999995,88.0,530.99,0.0,1051.058000087738,A-n39-k6-m3-b1
689.66,689.6600000000001,0.0,643.44,0.07183264950888958,14405.029000043869,A-n44-k6-m0-b1
689.66,689.66,0.0,625.6446561942446,0.10231901315222049,14403.580999851227,A-n44-k6-m1-b1
660.47,623.4699999999999,37.0,602.2683397112054,0.09663742297445523,14403.633000135422,A-n44-k6-m2-b1
642.2499999999999,556.2500000000001,86.0,599.8474644991991,0.07068886343664361,14406.776999950409,A-n44-k6-m3-b1
753.2299963412827,753.2299963412825,0.0,655.3705833057633,0.14931920279653915,14408.275000095367,A-n45-k6-m0-b1
767.38,757.3799999999999,10.0,644.0514062319095,0.19148874231893603,14408.802999973297,A-n45-k6-m1-b1
653.9,580.9,73.0,616.3050431287188,0.06100056666813491,14402.733000040054,A-n45-k6-m2-b1
653.9,580.9,73.0,630.3685366563707,0.03732969203768632,14401.490999937057,A-n45-k6-m3-b1
850.21,850.21,0.0,809.3000000000001,0.050549857901890476,14404.168000221252,A-n45-k7-m0-b2
895.5600000000001,828.5599999999998,67.0,783.9249911244717,0.14240521751372884,14401.50200009346,A-n45-k7-m1-b2
821.41,723.4100000000001,98.0,770.0134430473271,0.0667476099498615,14401.702000141144,A-n45-k7-m2-b2
773.91,588.9099999999999,185.0,764.7397202222222,0.011991373712238983,14402.00300002098,A-n45-k7-m3-b2
675.48,675.4800000000001,0.0,606.23,0.11423057255497088,14404.606999874115,A-n46-k7-m0-b2
660.88,660.88,0.0,599.204943489648,0.10292815034396904,14402.631000041962,A-n46-k7-m1-b2
675.23,618.2300000000001,57.0,605.6581064317542,0.11486991229776472,14402.171999931335,A-n46-k7-m2-b2
665.3100000000001,665.31,0.0,595.293753251771,0.11761629677074179,14402.674000024796,A-n46-k7-m3-b2
845.1700000000001,845.1700000000001,0.0,800.1,0.056330458692663475,14405.971999883652,A-n48-k7-m0-b2
802.87,725.87,77.0,758.5208922897473,0.05846787894843088,14402.584000110626,A-n48-k7-m1-b2
819.0799999999999,743.0799999999999,76.0,748.9862104257461,0.09358488660880744,14401.388000011444,A-n48-k7-m2-b2
792.96,628.9600000000002,164.0,738.5693887977159,0.07364319727740708,14403.18799996376,A-n48-k7-m3-b2
