,instance,TC,TC Bound,Running time,MIP Gap,Num MRT Line Used
145,A-n6-k2-m1-b2,175.26999999999998,175.27,0.125,1.6215957910882644e-14,1
146,A-n6-k2-m2-b2,175.26999999999998,175.27,0.36,1.6215957910882644e-14,1
147,A-n6-k2-m3-b2,169.98000000000002,169.98,0.266,1.6720619737853868e-14,2
148,A-n60-k9-m0-b9,925.9,330.38,14423.844,64.31796090290528,0
149,A-n60-k9-m1-b9,0,318.4263754926679,14437.094,31842.63754926679,0
150,A-n60-k9-m2-b9,0,324.4927915464224,14438.844000000001,32449.279154642238,0
151,A-n60-k9-m3-b9,0,331.3520690573681,14465.234999999999,33135.20690573681,0
152,A-n61-k8-m0-b8,1205.07,432.4,14419.688,64.11826698863966,0
153,A-n61-k8-m1-b8,1181.68,422.1135638874568,14424.328000000001,64.27852177514582,0
154,A-n61-k8-m2-b8,1180.2898934520883,439.4971752717523,14415,62.76362462222566,1
155,A-n61-k8-m3-b8,1184.6399999999999,428.6877427494794,14411.391000000001,63.8128256052911,1
156,A-n62-k10-m0-b10,1174.7400000000002,411.38,14415.156,64.98118732655738,0
157,A-n62-k10-m1-b10,1070.81,372.3201335062536,14567.922,65.23004701989582,0
158,A-n62-k10-m2-b10,1023.4799999999997,379.9157750376821,14564.078000000001,62.88000009402409,2
159,A-n62-k10-m3-b10,1079.999998119812,362.1067709267417,14586.063,66.47159522619084,0
160,A-n62-k9-m0-b9,1434.9799999999996,390.51,14436.157000000001,72.78638029798324,0
161,A-n62-k9-m1-b9,1493.6699999999998,393.0409778389199,14414.842999999999,73.68622400939164,0
162,A-n62-k9-m2-b9,1552.4399999999996,389.3969369821154,14414.234,74.91710230462269,0
163,A-n62-k9-m3-b9,1381.7799999999997,385.4211714036407,14415.641,72.10690765507962,2
164,A-n63-k9-m0-b9,1318.5800000000002,435.73,14413.672,66.95460267863915,0
165,A-n63-k9-m1-b9,1327.6000000000004,427.5416958035111,14432.172,67.79589516394162,0
166,A-n63-k9-m2-b9,1326.17,423.8607309343333,14411.953,68.03873327444194,2
167,A-n63-k9-m3-b9,1323.109968246722,428.897824742268,14407.812,67.5841135630919,1
168,A-n64-k9-m0-b9,1143.3300000000002,390.54,14414.875,65.84188292094146,0
169,A-n64-k9-m1-b9,1132.47,392.2609604992593,14414.313,65.36235304253012,0
170,A-n64-k9-m2-b9,1166.2700000000004,389.4941694779087,14448.531,66.60343063973964,1
171,A-n64-k9-m3-b9,1110.67,395.2341079673296,14430.905999999999,64.41480295971535,1
172,A-n68-k9-m0-b9,1054.04,498.8,14411.562,52.67731774885204,0
173,A-n68-k9-m1-b9,1054.19,500.0629473774736,15403.188000000002,52.564248629044705,0
174,A-n68-k9-m2-b9,1035.3000000000002,488.7966800446393,14475.344,52.78695256982139,0
175,A-n68-k9-m3-b9,1054.82,497.3154499326005,14466.155999999999,52.85305076386487,0
176,A-n7-k3-m0-b3,304.1,304.1,0.46799999999999997,0.0,0
177,A-n7-k3-m1-b3,301.45000000000005,301.45,0.29700000000000004,1.885666573587925e-14,1
178,A-n7-k3-m2-b3,301.45000000000005,301.45,0.313,1.885666573587925e-14,1
179,A-n7-k3-m3-b3,301.45000000000005,301.45,0.641,1.885666573587925e-14,1
180,A-n79-k10-m0-b10,1632.0000000000002,430.79,14665.422,73.60355392156863,0
181,A-n79-k10-m1-b10,1528.13,433.4355965104655,14434.437,71.63620918963272,1
182,A-n79-k10-m2-b10,1612.7,430.4821151330324,14431.015,73.30674551168647,1
183,A-n79-k10-m3-b10,1555.71,429.3603319147312,14447.125,72.40100456288569,2
184,A-n8-k3-m0-b3,296.71,296.71,0.406,0.0,0
185,A-n8-k3-m1-b3,296.4,296.4,0.61,0.0,1
186,A-n8-k3-m2-b3,296.4,296.4,1.4840000000000002,0.0,1
187,A-n8-k3-m3-b3,296.4,296.4,1.407,0.0,1
188,A-n9-k3-m0-b3,264.07,264.07,0.36,0.0,0
189,A-n9-k3-m1-b3,264.07,264.07,0.34299999999999997,0.0,0
190,A-n9-k3-m2-b3,242.97,242.97,1.1720000000000002,0.0,1
191,A-n9-k3-m3-b3,242.97,242.97,0.485,0.0,1
192,taipei-n12-k4-m0-b2,106.51899999999998,106.519,17.813000000000002,2.668229088745108e-14,0
193,taipei-n12-k4-m3-b2,72.76880000000003,72.7688,6.688,3.9057548606551155e-14,3
194,taipei-n15-k5-m0-b2,123.8096,109.7170392409128,14414.641000000001,11.382445916219103,0
195,taipei-n15-k5-m3-b2,116.46075479980873,95.3629181818182,14417.187000000002,18.11583365937894,2
196,taipei-n18-k5-m0-b2,120.0172,105.6390229529426,14414.109,11.980097058636101,0
197,taipei-n18-k5-m3-b2,120.0172,105.2836555358183,14414.141,12.276194132325786,0
198,taipei-n24-k5-m0-b2,134.4626,113.2174382685578,14424.734999999999,15.800052751800283,0
199,taipei-n24-k5-m3-b2,123.9264,106.1626308962159,14413.875,14.334128243686656,3
200,taipei-n9-k3-m0-b2,99.2499,99.24990000000001,0.484,1.4318255953106256e-14,0
201,taipei-n9-k3-m3-b2,91.2665,91.2665,16.891000000000002,0.0,3
